the-house-of-the-devil	Horror,Short
la-belle-et-la-bete	Family,Fantasy,Romance
sleeping-beauty	Drama,Fantasy,Short
alice-in-wonderland	Fantasy,Short
hamlet	Drama,Short
othello	Drama,Music,Romance
macbeth	Drama,Short
les-miserables	Drama,History,Short
faust	Drama,Short
frankenstein	Fantasy,Horror,Sci-Fi
sisters	Drama,Short
the-last-of-the-mohicans	Adventure,Short
the-scarlet-letter	Drama,Short
eva	Drama
the-artist	Animation,Short
dead-mans-shoes	Drama,Short
milk	Animation,Short
rebecca	Drama,Short
anna-karenina	Drama
the-beast	Drama,Short
the-forbidden-room	Drama,Short
happy-go-lucky	Comedy,Drama,Short
the-intruder	Drama,Romance,Short
jane-eyre	Drama
lola	Drama
the-lure	Drama
mother	Drama,Short
the-ring	Drama,Short
too-late	Drama
business-is-business	Drama
by-the-sea	Comedy,Short
the-criminal	Drama,Short
the-great-silence	Drama,Short
the-immigrant	Drama
scandal	Drama
the-wolf-man	Drama
the-woman-next-door	Drama
youth	Drama,Short
destiny	Drama,Short
help	Comedy,Short
judex	Adventure,Crime
sunshine	Comedy,Short
the-witch	Drama
great-expectations	Drama
thirst	Comedy,Short
the-claim	Drama
the-house-of-mirth	Drama
revenge	Western
salome	Drama
the-stranger	Comedy,Short,Western
atonement	Drama,Romance
broken-blossoms	Drama,Romance
deliverance	Biography,Drama
the-cabinet-of-dr-caligari	Fantasy,Horror,Mystery
the-third-generation	Drama
wuthering-heights	Drama
the-fighter	Drama
high-heels	Drama
jackie	Drama,Romance
the-kid	Comedy,Drama,Family
shame	Drama
haxan	Fantasy,History,Horror
nosferatu	Fantasy,Horror
coeur-fidele	Drama,Romance
the-fog	Drama
innocence	Drama
the-wheel-la-roue	Drama
manhattan	Adventure,Comedy,Romance
before-midnight	Drama
battleship-potemkin	Drama,History,Thriller
the-gold-rush	Adventure,Comedy,Drama
the-phantom-of-the-opera	Horror
the-verdict	Mystery
the-wizard-of-oz	Adventure,Comedy,Family
the-boy-friend	Comedy,Romance
the-holy-mountain	Drama
the-magician	Drama,Fantasy,Horror
metropolis	Drama,Sci-Fi
the-american	Western
black-jack	Action,Romance,Western
cabaret	Crime,Drama
chicago	Comedy,Crime,Drama
it	Comedy,Romance
new-york-new-york	Drama
open-range	Western
turkish-delight	Comedy
underworld	Crime,Drama,Film-Noir
wings	Action,Drama,Romance
pandoras-box	Crime,Drama,Romance
the-docks-of-new-york	Crime,Drama,Film-Noir
dressed-to-kill	Comedy,Crime
the-last-command	Drama,History,Romance
the-man-who-laughs	Drama,Horror,Mystery
moulin-rouge	Drama
the-passion-of-joan-of-arc	Biography,Drama,History
submarine	Action,Drama
underground	Drama,Romance
the-white-sheik	Adventure
the-aviator	Comedy
man-with-a-movie-camera	Documentary,Music
prisoners	Crime,Drama,Romance
the-river	Drama,Romance
the-sixth-sense	Drama
a-single-man	Comedy
stolen-kisses	Comedy,Romance
un-chien-andalou	Fantasy,Horror,Short
the-wolf-of-wall-street	Drama
42nd-street	Comedy,Short
the-big-trail	Adventure,Romance,Western
undertow	Drama,Romance
city-lights	Comedy,Drama,Romance
dracula	Fantasy,Horror
iron-man	Drama
m	Crime,Mystery,Thriller
the-maltese-falcon	Crime,Drama,Film-Noir
midnight-special	Drama
blonde-venus	Drama
freaks	Drama,Horror
life-is-beautiful	Romance
scarface	Action,Crime,Drama
shanghai-express	Adventure,Drama,Romance
vampyr	Fantasy,Horror
high-and-low	Comedy
island-of-lost-souls	Horror,Sci-Fi
king-kong	Adventure,Horror,Sci-Fi
queen-christina	Biography,Drama,History
black-moon	Drama,Horror
the-fountain	Drama,Romance
it-happened-one-night	Comedy,Romance
madame-bovary	Drama
the-man-who-knew-too-much	Crime,Mystery,Thriller
maniac	Horror
tenebre	Drama
white-heat	Drama,Romance
magnificent-obsession	Drama,Romance
a-night-at-the-opera	Comedy,Music,Musical
the-lower-depths	Crime,Drama,Romance
dont-look-now	Animation,Comedy,Family
martha	Musical
modern-times	Comedy,Drama,Family
sweeney-todd-the-demon-barber-of-fleet-street	Drama,Horror
swing-time	Comedy,Musical,Romance
things-to-come	Drama,Sci-Fi,War
the-adventures-of-robin-hood	Action,Adventure,Romance
youth-in-revolt	Adventure,Drama,Fantasy
boy-meets-girl	Comedy
fireworks	Comedy
gangs-of-new-york	Crime,Drama
marie-antoinette	Biography,Drama,History
frenzy	Comedy
gone-with-the-wind	Drama,History,Romance
some-like-it-hot	Comedy,Musical,Romance
young-mr-lincoln	Biography,Drama,History
the-grapes-of-wrath	Drama,History
the-great-dictator	Comedy,Drama,War
the-invisible-woman	Comedy,Romance,Sci-Fi
spellbound	Drama,Horror
stranger-on-the-third-floor	Crime,Drama,Film-Noir
citizen-kane	Drama,Mystery
the-getaway	Crime,Drama,Mystery
casablanca	Drama,Romance,War
cat-people	Fantasy,Horror,Thriller
the-avengers	Drama,War
the-magnificent-ambersons	Drama,Romance
saboteur	Thriller,War
batman	Action,Adventure,Crime
destroyer	Adventure,Drama,War
elvira-madigan	Drama
meshes-of-the-afternoon	Fantasy,Mystery,Short
the-adventures-of-baron-munchausen	Adventure,Comedy,Fantasy
the-seventh-victim	Drama,Horror,Mystery
shadow-of-a-doubt	Thriller
sanshiro-sugata	Action,Adventure,Drama
brazil	Comedy,Musical,Romance
dark-shadows	Crime,Drama,Short
the-best-years-of-our-lives	Drama,Romance,War
the-most-beautiful	Drama
murder-my-sweet	Crime,Drama,Film-Noir
thoroughbreds	Drama
the-town	Short
jubilee	Drama,Short
brief-encounter	Drama,Romance
dead-of-night	Drama,Horror
they-were-expendable	Drama,War
the-men-who-tread-on-the-tigers-tail	Adventure,Drama,Thriller
vertigo	Drama
it-rains-on-our-love	Drama,Romance
its-a-wonderful-life	Drama,Family,Fantasy
crisis	Drama,Romance
my-darling-clementine	Biography,Drama,Western
notorious	Drama,Film-Noir,Romance
the-postman-always-rings-twice	Crime,Drama,Film-Noir
no-regrets-for-our-youth	Drama
black-narcissus	Drama
phoenix	Drama,Romance
nightmare-alley	Drama,Film-Noir
odd-man-out	Crime,Drama,Film-Noir
the-secret-life-of-walter-mitty	Comedy,Fantasy,Romance
one-wonderful-sunday	Drama,Romance
spring	Comedy,Musical,Romance
port-of-call	Drama
the-lady-from-shanghai	Crime,Drama,Film-Noir
music-in-darkness	Drama
the-red-shoes	Drama,Music,Romance
rope	Crime,Drama,Mystery
saraband	Biography,Drama,History
whiplash	Drama,Film-Noir,Sport
